run_id,paper_experiment,model_scale,model_name,num_layers,base_ffn_dim,width_multiplier,ffn_hidden_dim,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,num_gpus,seed,frequency_bucket_reduction,log_dir,notes
160m_adamw_6k_1x,matched_loss_scaling_break,160m,GPT2-160M,12,768,1,768,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/1d/eigen_metrics_logs,AdamW baseline run
160m_adamw_6k_2x,matched_loss_scaling_break,160m,GPT2-160M,12,768,2,1536,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/2d/eigen_metrics_logs,AdamW baseline run
160m_adamw_6k_3x,matched_loss_scaling_break,160m,GPT2-160M,12,768,3,2304,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/3d/eigen_metrics_logs,AdamW baseline run
160m_adamw_6k_4x,matched_loss_scaling_break,160m,GPT2-160M,12,768,4,3072,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/4d/eigen_metrics_logs,AdamW baseline run
160m_adamw_6k_5x,matched_loss_scaling_break,160m,GPT2-160M,12,768,5,3840,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/5d/eigen_metrics_logs,AdamW baseline run
160m_adamw_6k_6x,matched_loss_scaling_break,160m,GPT2-160M,12,768,6,4608,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/6d/eigen_metrics_logs,AdamW baseline run
160m_adamw_6k_7x,matched_loss_scaling_break,160m,GPT2-160M,12,768,7,5376,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/7d/eigen_metrics_logs,AdamW baseline run
160m_adamw_6k_8x,matched_loss_scaling_break,160m,GPT2-160M,12,768,8,6144,AdamW,adamw_6k,adamw_6k,AdamW 6K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_6k/8d/eigen_metrics_logs,AdamW baseline run
160m_adamw_12k_1x,matched_loss_scaling_break,160m,GPT2-160M,12,768,1,768,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/1d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_adamw_12k_2x,matched_loss_scaling_break,160m,GPT2-160M,12,768,2,1536,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/2d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_adamw_12k_3x,matched_loss_scaling_break,160m,GPT2-160M,12,768,3,2304,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/3d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_adamw_12k_4x,matched_loss_scaling_break,160m,GPT2-160M,12,768,4,3072,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/4d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_adamw_12k_5x,matched_loss_scaling_break,160m,GPT2-160M,12,768,5,3840,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/5d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_adamw_12k_6x,matched_loss_scaling_break,160m,GPT2-160M,12,768,6,4608,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/6d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_adamw_12k_7x,matched_loss_scaling_break,160m,GPT2-160M,12,768,7,5376,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/7d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_adamw_12k_8x,matched_loss_scaling_break,160m,GPT2-160M,12,768,8,6144,AdamW,adamw_12k,adamw_12k,AdamW 12K,4,not_recorded,rank0_local,external://submitted_logs/matched_loss/adamw_12k/8d/eigen_metrics_logs,extended AdamW run used for matched-loss / scaling-break analysis
160m_dion_r1_16_1x,matched_loss_scaling_break,160m,GPT2-160M,12,768,1,768,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/1d/eigen_metrics_logs,Dion rank-1/16 comparison run
160m_dion_r1_16_2x,matched_loss_scaling_break,160m,GPT2-160M,12,768,2,1536,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/2d/eigen_metrics_logs,Dion rank-1/16 comparison run
160m_dion_r1_16_3x,matched_loss_scaling_break,160m,GPT2-160M,12,768,3,2304,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/3d/eigen_metrics_logs,Dion rank-1/16 comparison run
160m_dion_r1_16_4x,matched_loss_scaling_break,160m,GPT2-160M,12,768,4,3072,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/4d/eigen_metrics_logs,Dion rank-1/16 comparison run
160m_dion_r1_16_5x,matched_loss_scaling_break,160m,GPT2-160M,12,768,5,3840,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/5d/eigen_metrics_logs,Dion rank-1/16 comparison run
160m_dion_r1_16_6x,matched_loss_scaling_break,160m,GPT2-160M,12,768,6,4608,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/6d/eigen_metrics_logs,Dion rank-1/16 comparison run
160m_dion_r1_16_7x,matched_loss_scaling_break,160m,GPT2-160M,12,768,7,5376,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/7d/eigen_metrics_logs,Dion rank-1/16 comparison run
160m_dion_r1_16_8x,matched_loss_scaling_break,160m,GPT2-160M,12,768,8,6144,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,not_recorded,rank0_local,external://submitted_logs/matched_loss/dion_r1_16/8d/eigen_metrics_logs,Dion rank-1/16 comparison run
