run_id,paper_experiment,model_scale,model_name,num_layers,base_ffn_dim,width_multiplier,ffn_hidden_dim,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,num_gpus,seed,frequency_bucket_reduction,log_dir,config_path,notes
160m_adamw_1x,main_160m_width_sweep,160m,GPT2-160M,12,768,1,768,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/1d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_adamw_2x,main_160m_width_sweep,160m,GPT2-160M,12,768,2,1536,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/2d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_adamw_3x,main_160m_width_sweep,160m,GPT2-160M,12,768,3,2304,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/3d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_adamw_4x,main_160m_width_sweep,160m,GPT2-160M,12,768,4,3072,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/4d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_adamw_5x,main_160m_width_sweep,160m,GPT2-160M,12,768,5,3840,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/5d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_adamw_6x,main_160m_width_sweep,160m,GPT2-160M,12,768,6,4608,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/6d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_adamw_7x,main_160m_width_sweep,160m,GPT2-160M,12,768,7,5376,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/7d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_adamw_8x,main_160m_width_sweep,160m,GPT2-160M,12,768,8,6144,AdamW,adamw,adamw,AdamW,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/adamw/8d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_1x,main_160m_width_sweep,160m,GPT2-160M,12,768,1,768,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/1d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_2x,main_160m_width_sweep,160m,GPT2-160M,12,768,2,1536,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/2d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_3x,main_160m_width_sweep,160m,GPT2-160M,12,768,3,2304,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/3d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_4x,main_160m_width_sweep,160m,GPT2-160M,12,768,4,3072,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/4d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_5x,main_160m_width_sweep,160m,GPT2-160M,12,768,5,3840,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/5d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_6x,main_160m_width_sweep,160m,GPT2-160M,12,768,6,4608,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/6d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_7x,main_160m_width_sweep,160m,GPT2-160M,12,768,7,5376,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/7d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_2_8x,main_160m_width_sweep,160m,GPT2-160M,12,768,8,6144,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_2/8d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_1x,main_160m_width_sweep,160m,GPT2-160M,12,768,1,768,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/1d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_2x,main_160m_width_sweep,160m,GPT2-160M,12,768,2,1536,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/2d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_3x,main_160m_width_sweep,160m,GPT2-160M,12,768,3,2304,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/3d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_4x,main_160m_width_sweep,160m,GPT2-160M,12,768,4,3072,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/4d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_5x,main_160m_width_sweep,160m,GPT2-160M,12,768,5,3840,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/5d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_6x,main_160m_width_sweep,160m,GPT2-160M,12,768,6,4608,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/6d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_7x,main_160m_width_sweep,160m,GPT2-160M,12,768,7,5376,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/7d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_dion_r1_16_8x,main_160m_width_sweep,160m,GPT2-160M,12,768,8,6144,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/dion_r1_16/8d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_1x,main_160m_width_sweep,160m,GPT2-160M,12,768,1,768,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/1d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_2x,main_160m_width_sweep,160m,GPT2-160M,12,768,2,1536,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/2d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_3x,main_160m_width_sweep,160m,GPT2-160M,12,768,3,2304,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/3d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_4x,main_160m_width_sweep,160m,GPT2-160M,12,768,4,3072,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/4d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_5x,main_160m_width_sweep,160m,GPT2-160M,12,768,5,3840,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/5d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_6x,main_160m_width_sweep,160m,GPT2-160M,12,768,6,4608,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/6d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_7x,main_160m_width_sweep,160m,GPT2-160M,12,768,7,5376,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/7d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_8x,main_160m_width_sweep,160m,GPT2-160M,12,768,8,6144,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/8d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_1x,main_160m_width_sweep,160m,GPT2-160M,12,768,1,768,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/1d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_2x,main_160m_width_sweep,160m,GPT2-160M,12,768,2,1536,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/2d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_3x,main_160m_width_sweep,160m,GPT2-160M,12,768,3,2304,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/3d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_4x,main_160m_width_sweep,160m,GPT2-160M,12,768,4,3072,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/4d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_5x,main_160m_width_sweep,160m,GPT2-160M,12,768,5,3840,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/5d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_6x,main_160m_width_sweep,160m,GPT2-160M,12,768,6,4608,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/6d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_7x,main_160m_width_sweep,160m,GPT2-160M,12,768,7,5376,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/7d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_8x,main_160m_width_sweep,160m,GPT2-160M,12,768,8,6144,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/8d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
